Class,CLASS2641,CLASS2646,CLASS2647,CLASS2648,CLASS2651,CLASS2652,CLASS2653,CLASS2654,CLASS2656,CLASS2657
CC,0,0,0,0,0,0,26.051660516605168,0,2.24848659556068,0
CD,0,0,0.14977533699450823,0,0,1.6718414139001672,0.36900369003690037,0.3732890916632103,2.9979821274142404,0
DT,0.8632138114209826,0.9733939000648929,0,0,0.5438723712835388,0.2627179364700263,0,3.774367482372459,74.74776592678005,3.8156797331109256
EX,0,4.931862426995457,0,0,0,0,0,0,0,0
FW,0,0,0,0,0,0.04776689754000478,0,0,0,0
IN,0.5976095617529881,0,0,0,73.20522117476432,0.09553379508000956,24.723247232472325,0,0,0.1042535446205171
JJ,5.046480743691899,0,1.6974538192710935,29.383712399119588,2.393038433647571,10.843085741581085,0.4920049200492005,2.1567814184985483,1.181896800230614,1.3552960800667222
JJR,0,0,0.7488766849725411,0.4402054292002935,0.10877447425670776,1.6957248626701695,0.04920049200492004,0.08295313148071339,0,0
JJS,0.13280212483399734,0,0,0.18341892883345562,0,0.6448531167900645,0.04920049200492004,0,0.28826751225136926,0.041701417848206836
MD,0,0,14.777833250124814,0,0,0,0,0,0,1.939115929941618
NN,15.604249667994688,0.9085009733939001,2.6460309535696456,38.33455612619222,2.4292965917331397,40.482445665154046,3.2718327183271834,3.6084612194110326,0.2594407610262323,4.608006672226856
NNP,3.9176626826029217,0,0.24962556165751376,1.467351430667645,0.3263234227701233,20.539765942202052,3.4440344403444034,20.98714226462049,0,1.793160967472894
NNPS,0.13280212483399734,0,0,0,0,0.09553379508000956,0,0,0,0
NNS,9.096945551128819,0,0,8.76742479823918,0.47135605511240025,9.863864342010986,0.8610086100861009,0.2903359601824969,0.057653502450273855,0.8757297748123436
PRP,10.95617529880478,85.85334198572355,0.0998502246630055,0,0,0,0,36.12608875985068,0,2.37698081734779
PRP$,0,0,0,0,0,0.2149510389300215,0,0,16.69068895935428,0
RB,17.861885790172643,0.12978585334198572,8.88666999500749,14.306676449009537,1.4503263234227701,1.4568903749701456,8.585485854858549,14.226462048942349,1.0089362928797925,6.901584653878231
RBR,0,0,0,0.07336757153338225,0,0,0,0,0,0.041701417848206836
RBS,0,0,0,0,0,0.2149510389300215,0,0,0,0
RP,0,0,0,0,10.043509789702682,2.8182469548602818,0,0,0,0
TO,0,0,36.445332001997,0,0,0,0,0,0,0
UH,0,0,0,0,0,0,0.34440344403444034,0.2073828287017835,0,0
VB,1.0624169986719787,0,10.634048926610085,0.4402054292002935,0.7614213197969544,0.6448531167900645,2.1402214022140225,0.2073828287017835,0,17.848206839032528
VBD,13.612217795484726,0,0.4992511233150275,0.3301540719002201,1.1965192168237855,1.1225220921901122,16.113161131611317,0.1244296972210701,0,36.84320266889074
VBG,13.014608233731739,0,0.8986520219670495,1.797505502567865,3.444525018129079,1.3374731311201338,1.156211562115621,2.0323517212774784,0,7.0266889074228525
VBN,3.386454183266932,0,0,1.173881144534116,1.5228426395939088,1.1225220921901122,0.3198031980319803,2.0323517212774784,0,4.962468723936614
VBP,0.13280212483399734,0,11.932101847229157,0,0.580130529369108,0.11941724385001193,0.2952029520295203,0,0,3.3569641367806504
VBZ,1.859229747675963,0,0,0.293470286133529,0.6526468455402465,0.16718414139001672,0,0.16590626296142677,0,4.190992493744787
WDT,0,3.244646333549643,0,0,0,0.09553379508000956,0,0,0,0
WP,0,3.958468526930565,0,0,0,0,3.3702337023370235,0,0,0
WP$,0,0,0,0,0,0,0,0,0,0.06255212677231026
WRB,0,0,0.0998502246630055,0,0,0,5.018450184501845,0,0,0

Focus,25.189873379368695,83.62789167762949,37.76001352962039,45.432033336709694,72.05153202561199,44.35277798907164,35.21172309536813,40.64234899649462,73.65602487166788,37.813635551244666

Adjective,5.179282868525896,0,2.4463305042436345,30.007336757153336,2.5018129079042786,13.18366372104132,0.5904059040590406,2.2397345499792616,1.4701643124819834,1.396997497914929
Adverb,17.861885790172643,0.12978585334198572,8.986520219670494,14.380044020542918,1.4503263234227701,1.6718414139001672,13.603936039360395,14.226462048942349,1.0089362928797925,6.943286071726438
Conjunction,0,0,0,0,0,0,26.051660516605168,0,2.24848659556068,0
Determiner,0.8632138114209826,4.218040233614536,0,0,0.5438723712835388,0.35825173155003587,0,3.774367482372459,74.74776592678005,3.8156797331109256
GrammarOther,0,4.931862426995457,14.777833250124814,0,10.043509789702682,2.8182469548602818,0,0,0,1.939115929941618
Noun,28.751660026560426,0.9085009733939001,2.8956565152271594,48.56933235509905,3.226976069615663,70.9816097444471,7.576875768757688,24.88593944421402,0.31709426347650616,7.276897414512094
Other,0,0,0.14977533699450823,0,0,1.719608311440172,0.7134071340713407,0.5806719203649938,2.9979821274142404,0
Preposition,0.5976095617529881,0,36.445332001997,0,73.20522117476432,0.09553379508000956,24.723247232472325,0,0,0.1042535446205171
Pronoun,10.95617529880478,89.8118105126541,0.0998502246630055,0,0,0.2149510389300215,3.3702337023370235,36.12608875985068,16.69068895935428,2.4395329441201
Verb,33.067729083665334,0,23.96405391912132,4.035216434336023,8.158085569253082,4.513971817530451,20.02460024600246,4.562422231439237,0,74.22852376980816

Focus,41.13162162386134,88.87643517427549,44.09869613636325,54.790993810267196,71.82765301282981,72.61457400044839,34.68313314535303,45.9887554828216,74.12199059000801,73.42769732035924

